title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,_source_file
"'Nature Island' Community Garden - Pennenfeld, Bonn","The Nature Island Pennenfeld-Bonn ('Naturinsel Pennenfeld') is a community garden project of the Lebensqualität im Alter - LeA (Quality of Life in Old Age) Association, the District Management (QM) of Pennenfeld and the municipal housing company VEBOWAG. The project started in 2012 and its aim was the transformation of a 1,800 sqm large tree-lined lawn area into a park-like natural community garden for recreation where elderly residents have more opportunity to experience nature, while at the same time it is a place of encounter that promotes social stability.",ongoing,Bonn-Pennenfeld,Germany,neighborhood,"[""Community gardens"", ""Pocket parks/neighbourhood green spaces""]","[""Green space creation and/or management"", ""Health and well-being"", ""Social justice, cohesion and equity""]","[""Improving mental health"", ""Creation of opportunities for recreation""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Improved mental health"", ""type"": ""unknown""}]",Led by non-government actors,https://una.city/nbs/bonn/nature-island-community-garden-pennenfeld-bonn,urban,011_Nature_Island_Community_Garden_-_Pennenfeld_Bonn.html
'United Way' annual tree planting campaign,"Fondo Unido Chihuahua, in collaboration with its corporate partners, is committed to raising awareness about environmental care and reforestation. One of its flagship initiatives is the annual tree-planting campaign, 'Planting Today to Have Oxygen Tomorrow,' organized by United Way Chihuahua in Ciudad Juárez. This environmental initiative focuses on improving the quality of different urban green spaces while fostering ecological awareness in vulnerable communities across the city.",ongoing,"Ciudad Juarez, Ciudad Juárez (FUA)",Mexico,regional,"[""Parks and urban forests"", ""Alley or street trees and other street vegetation"", ""Green playgrounds and school grounds"", ""Pocket parks/neighbourhood green spaces""]","[""Climate change adaptation"", ""Air pollution"", ""Environmental quality"", ""Green space creation and/or management""]","[""Creation of opportunities for recreation""]","[{""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}, {""description"": ""Increased perception of safety"", ""type"": ""social""}]","Led by non-government actors, specifically Fondo Unido Chihuahua",https://una.city/nbs/ciudad-juarez-fua/united-way-annual-tree-planting-campaign,urban,012_United_Way_annual_tree_planting_campaign.html
"""Gallus Garden"" Community Garden","In Frankfurt, the ""Gallus Garden"" is a community garden built in 2016, which not only impresses with its 1000 m2 size but also reflects the cultural diversity in the district. The garden was initiated by the Kinder im Zentrum Gallus association in collaboration with the Gallus neighbourhood management with the help of many sponsors and donors. The aim of the Gallus Garden is to create a community place where old and new residents of the area get together, can share knowledge and spend time in nature.",completed,Frankfurt am Main,Germany,neighborhood,"[""Community gardens and allotments"", ""Allotments"", ""Community gardens""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)"", ""Health and well-being (SDG 3)"", ""Sustainable consumption and production (SDG 12)""]","[""Creation of opportunities for recreation""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""unknown""}]",Co-governance with government and non-government actors,https://una.city/nbs/frankfurt-am-main/gallus-garden-community-garden,urban,013_Gallus_Garden_Community_Garden.html
"""Green country"" : planting 1 million trees","Martinique is a biodiversity hotspot, home to over 1,500 endemic plants, 70% of which are under threat from human activities. In response to these pressures, the Péyi Vert [Green Country] initiative was launched to plant endemic trees and strengthen the island's biodiversity. Launched in June 2020 by Entreprises et Environnement (EE), the initiative aims to plant 1 million native trees over five years.",ongoing,"Fort-de-france, Fort-de-France (FUA)",Martinique,regional,"[""Parks and urban forests"", ""Community gardens and allotments"", ""Blue infrastructure""]","[""Climate change adaptation"", ""Climate change mitigation"", ""Air quality improvement"", ""Biodiversity loss""]","[""Improved air quality"", ""Increased access to healthy/affordable food""]","[{""description"": ""Enhanced carbon sequestration"", ""type"": ""environmental""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Increased sense of place identity, memory and belonging"", ""type"": ""social""}]","Led by non-government actors, primarily Entreprises et Environnement (EE)",https://una.city/nbs/fort-de-france-fua/green-country-planting-1-million-trees,urban,014_Green_country__planting_1_million_trees.html
"""Herzkamp"" lighthouse project in Hanover-Bothfeld","In 2016 the Environmental Protection Division of Hannover's Department of Environment and Urban Environment started a common pilot project, KlimaWohL, with Bothfelder Kamp GmbH & Co. KG and the Gundlach Group. The aim of the project is to implement a new residential area where the researchers of KlimaWohL can systematically test the climate adaptation strategy of Hanover. The new residential area aims to be an innovative example of climate-adaption for other cities, equipped with extensive green surfaces.",ongoing,Hannover,Germany,neighborhood,"[""Nature on buildings (external)"", ""Green roofs"", ""Green walls or facades"", ""Grey infrastructure featuring greens"", ""Alley or street trees and other street vegetation"", ""Green parking lots"", ""Parks and urban forests"", ""Large urban parks or forests"", ""Pocket parks/neighbourhood green spaces"", ""Community gardens"", ""Sustainable urban drainage systems""]","[""Climate change adaptation"", ""Habitat and biodiversity conservation"", ""Air quality improvement"", ""Waste management"", ""Regulation of built environment"", ""Real estate development"", ""Employment/job creation""]",[],"[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Reduced emissions"", ""type"": ""environmental""}, {""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increase of green jobs"", ""type"": ""economic""}, {""description"": ""Improved liveability"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/hannover/herzkamp-lighthouse-project-hanover-bothfeld,urban,015_Herzkamp_lighthouse_project_in_Hanover-Bothfeld.html
"""I Have A Bee"" Organisation",‘I have a bee’ (IHAB) is an organisation for hobby beekeepers. It contributes to a sustainable and long-term solution to the bee colony collapse phenomenon by popularizing bee keeping as a hobby. The group has engaged in research about the roots of traditional beekeeping and designed a new top bar hive which has the advantage of being usable in backyards or on city terraces.,unknown,Sofia,Bulgaria,city,"[""Grey infrastructure featuring greens"", ""Other""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Cultural heritage and cultural diversity"", ""Social justice, cohesion and equity (SDG 10)"", ""Economic development and employment (SDG 8)""]",[],"[{""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Enhanced support of pollination"", ""type"": ""environmental""}, {""description"": ""Increased visibility and opportunity for marginalised groups or indigenous peoples"", ""type"": ""social""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}]",Led by non-government actors,https://una.city/nbs/sofia/i-have-bee-organisation,urban,016_I_Have_A_Bee_Organisation.html
"""Let's return the rivers to the city"" campaign","In 2019, the public initiative ""Let's return the rivers to the city"" campaign united public forces around the Podborenka river, which flows through the territory of Izhevsk along its entire length. The project's primary goal is to increase the efficiency of urban resources and the creation of new scenarios for resource use on the example of the space of the riverbed of a small river. The project implementation contributes to improving the ecological situation of the Podborenka River, its embankment zone and biodiversity.",ongoing,Izhevsk,Russia,regional,"[""Grey infrastructure featuring greens"", ""Blue infrastructure"", ""Riverbank/Lakeside greens"", ""Rivers/streams/canals/estuaries"", ""Green areas for water management"", ""Sustainable urban drainage systems""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Water management (SDG 6)"", ""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)"", ""Health and well-being (SDG 3)""]","[""Creation of opportunities for recreation""]","[{""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Enhanced protection and restoration of freshwater ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased conversion of degraded land or soil"", ""type"": ""environmental""}, {""description"": ""Stimulate development in deprived areas"", ""type"": ""economic""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/izhevsk/lets-return-rivers-city-campaign,urban,017_Lets_return_the_rivers_to_the_city_campaign.html
"""Misheel"" botanical garden","The Misheel Botanical Garden is a large park located in Ulaanbaatar, Mongolia, established in 2021 along the Tuul River. The project was carried out by ""Misheel Group"" LLC in cooperation with public actors and more than 100 customer organisations, within the framework of social and environmental responsibility. The project aims to maintain and restore the ecological balance of flora and fauna, increase the flow of the Tuul river basin by planting trees each year, and provide citizens with more leisure and recreation opportunities.",completed,Ulaanbaatar,Mongolia,neighborhood,"[""Blue infrastructure"", ""Community gardens and allotments"", ""Grey infrastructure featuring greens"", ""Parks and urban forests""]","[""Air quality improvement"", ""Habitat and biodiversity restoration"", ""Flood protection"", ""Improving mental health"", ""Improving physical health"", ""Creation of opportunities for recreation""]","[""Improved air quality"", ""Improved mental health"", ""Improved physical health"", ""Enabling opportunities for physical activity""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Improved physical health"", ""type"": ""unknown""}]",Co-governance with government and non-government actors,https://una.city/nbs/ulaanbaatar/misheel-botanical-garden,urban,018_Misheel_botanical_garden.html
"""Planting a tree for the climate""","In anticipation of the organisation of the 2016 United Nations Climate Change Conference in Marrakech, the Sidi Mohammed Benabdellah University (USMBA) of Fez has launched an operation to plant 1,000 trees of different species. This intervention was part of a series of scientific, cultural, artistic, sporting and environmental actions undertaken by the University for the Climate, with the cooperation of other partners. Students and faculty as well as NGO representatives were present and implemented the action which ultimately led to the creation of green areas within the campus and around the faculties and universities.",completed,Fez,Morocco,neighborhood,"[""Parks and urban forests"", ""Pocket parks/neighbourhood green spaces""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change mitigation"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity conservation"", ""Green space creation and/or management"", ""Regeneration, land-use and urban development"", ""Promote natural styles of landscape design for urban development"", ""Social justice, cohesion and equity (SDG 10)"", ""Environmental education""]",[],"[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]","Led by non-government actors, initiated by the University of Sidi Mohammed Benabdellah (USMBA) with help from students, professors, and some NGOs.",https://una.city/nbs/fez/planting-tree-climate,urban,019_Planting_a_tree_for_the_climate.html
"""Rain garden"" along the October 28th street in Thessaloniki","The 28th of October Street (28ης Οκτωβρίου) was one of the most neglected streets on the eastern side of Thessaloniki, completely devoid of trees despite its central importance. Additionally, the street suffered from severe flooding during heavy rainfall. In 2011, the Municipality of Thessaloniki proposed a redevelopment project aimed at transforming the street through the planting of trees and the installation of flower beds that would function as rain gardens.",completed,Thessaloniki,Greece,neighborhood,"[""rain gardens"", ""green areas for water management"", ""alley or street trees and other street vegetation""]","[""urban flooding"", ""stormwater management"", ""improvements to water quality""]","[""creation of opportunities for recreation""]","[{""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Reduced financial cost for urban management"", ""type"": ""economic""}, {""description"": ""Increased visibility and opportunity for marginalized groups"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Government-led,https://una.city/nbs/thessaloniki-fua/rain-garden-along-october-28th-street-thessaloniki,urban,020_Rain_garden_along_the_October_28th_street_in_Thessaloniki.html
"""Uuliin Nuur"" Park","Uuliin Nuur (Mountain Lake or Green Lake) is a community park located in the ger district area known as Denjin Myanga of Ulaanbaatar city. The area was once a quarry and later a dumping ground, but in 2009, a private citizen transformed it into a green garden to create a healthy public space. The park officially opened in May 2014 and features various community facilities and approximately 1000 trees and shrubs planted by locals and visitors.",completed,Ulaanbaatar,Mongolia,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests"", ""Lakes/ponds""]","[""Air quality improvement"", ""Waste management"", ""Green space creation and/or management"", ""Improvements to water quality"", ""Social cohesion"", ""Tourism support""]","[""Improved mental health"", ""Enabling opportunities for physical activity"", ""Creation of opportunities for recreation""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Improved mental health"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]","Led by non-government actors, initiated by citizens or community group, with community involvement in tree planting and education.",https://una.city/nbs/ulaanbaatar/uuliin-nuur-park,urban,021_Uuliin_Nuur_Park.html
“The garden of senses”,"The initiative promoted by the event “Primavera Mediterranea” (Mediterranean spring) transforms the central pedestrian area of via Argirio into an urban park. The project is aimed at rethinking the urban spaces in a green way, as urban gardens are built within the whole central area. The main benefit of the initiative is to give a green view of the city centre, a new dimension of the lived urban space. In addition, workshops and manifestations are organized within the area, to promote also the social and cultural value of the zone.",ongoing,Bari,Italy,site,"[""community gardens and allotments"", ""alley or street trees and other street vegetation"", ""grey infrastructure featuring greens""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)"", ""Health and well-being (SDG 3)"", ""Cultural heritage and cultural diversity"", ""Sustainable consumption and production (SDG 12)""]","[""Creation of opportunities for recreation""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/bari/garden-senses,urban,022_The_garden_of_senses.html
100 trees and 100 bushes for the Podgorze district,"In 2013, local activists came up with an initiative to plant 100 trees and 100 bushes in different parts of the District XIII in Kraków. It was supposed to be financed by the participatory budget of Kraków. The project aimed to increase the aesthetic and decorative value of the area and to increase the comfort of living of its inhabitants.",completed,Kraków,Poland,neighborhood,"[""Alley or street trees and other street vegetation""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management""]","[""Health and wellbeing"", ""Gain in activities for recreation and exercise""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}]",Co-governance with government and non-government actors,https://una.city/nbs/krakow/100-trees-and-100-bushes-podgorze-district,urban,023_100_trees_and_100_bushes_for_the_Podgorze_district.html
100 trees in Poznan,"The ‘100 trees’ project replanted empty spots where trees had grown but later were cut down in the Grunwald district of Poznan. It involved planting trees resistant to urban conditions and salinity in the places indicated by the project proposal – empty squares in a sidewalk, where trees were cut or withered. By re-planting the greenery the project enhanced the aesthetics of the district and the quality of life for its inhabitants.",completed,Poznan,Poland,neighborhood,"[""Alley or street trees and other street vegetation""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Environmental quality"", ""Health and well-being (SDG 3)""]","[""Improving physical health""]","[{""description"": ""Green space and habitat"", ""type"": ""environmental""}, {""description"": ""Social justice and cohesion"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/poznan/100-trees-poznan,urban,024_100_trees_in_Poznan.html
